iter	RMSE
0	0.8301749252
1	0.7973305336
2	0.7787831666
3	0.7624712776
4	0.7490160933
5	0.7313629271
6	0.7189329858
7	0.7025332957
8	0.6877682487
9	0.6664826655
10	0.6559917643
11	0.6408866847
12	0.6264784085
13	0.6169892467
14	0.6075285579
15	0.5981765319
16	0.5859657517
17	0.5785188998
18	0.57108364
19	0.5644323791
20	0.5560487179
21	0.546113836
22	0.5393945773
23	0.5291723403
24	0.5186312988
25	0.5124480055
26	0.5077755966
27	0.5050742131
28	0.4986775373
29	0.492113706
30	0.4857199181
31	0.4833777372
32	0.4802122909
33	0.4753688458
34	0.4695826346
35	0.465914469
36	0.461956218
37	0.4575870124
38	0.4511319125
39	0.4451759024
40	0.4420529851
41	0.4380680962
42	0.4357011507
43	0.4317363944
44	0.4263530399
45	0.4240042453
46	0.4192830017
47	0.4166614275
48	0.4093880837
49	0.4055689034
50	0.4027122761
51	0.4004123573
52	0.3933898542
53	0.3903543913
54	0.3867623499
55	0.3832078646
56	0.3810350213
57	0.3800159861
58	0.3750410539
59	0.3721974439
60	0.3677647739
61	0.3654284062
62	0.3621296296
63	0.3584427692
64	0.3554618549
65	0.3502178827
66	0.3484907555
67	0.3465363473
68	0.3450611774
69	0.3415593659
70	0.3374296156
71	0.3346838507
72	0.3322063148
73	0.3295373372
74	0.3273796103
75	0.3254743221
76	0.3222653009
77	0.3194729756
78	0.3174695272
79	0.3131267023
80	0.3109775007
81	0.3096599428
82	0.3084193979
83	0.3053169988
84	0.2999062435
85	0.2987123765
86	0.2975341599
87	0.2952467131
88	0.293166833
89	0.291060918
90	0.290048746
91	0.2878084617
92	0.2854381728
93	0.2823907334
94	0.2814472134
95	0.2791781696
96	0.2756808802
97	0.2719176975
98	0.2685321077
99	0.2675507444
100	0.264192822
101	0.2632627048
102	0.2621492513
103	0.2610530907
104	0.2590681403
105	0.2571485997
106	0.2554044506
107	0.2513110252
108	0.2500356342
109	0.2479783036
110	0.2460550875
111	0.2444352915
112	0.2433995462
113	0.2407779991
114	0.2383081039
115	0.2368995393
116	0.2361710942
117	0.2349495029
118	0.2336036629
119	0.2316906288
120	0.2289958341
121	0.2258032241
122	0.224681115
123	0.2239616399
124	0.2226961302
125	0.2221518302
126	0.219977434
127	0.2190624146
128	0.2172045029
129	0.2158582941
130	0.2150941116
131	0.2126904469
132	0.2113177358
133	0.2095334812
134	0.2087530027
135	0.2080036127
136	0.2065543735
137	0.2054284355
138	0.2049084566
139	0.2033571228
140	0.2027158186
141	0.2020328388
142	0.2015359669
143	0.2010417452
144	0.1998629717
145	0.1988608575
146	0.1967230388
147	0.1946695965
148	0.1928386534
149	0.1920923622
150	0.1895871933
151	0.1885637835
152	0.1870853207
153	0.185480543
154	0.1850863933
155	0.1842360018
156	0.1833535887
157	0.1824843462
158	0.1819298705
159	0.1803115366
160	0.1795933418
161	0.178663949
162	0.1779074787
163	0.1773409029
164	0.1769872513
