iter	Passed	Remaining
0	4	2441
1	11	2864
2	17	2931
3	23	2896
4	30	3027
5	37	3126
6	45	3238
7	53	3291
8	60	3324
9	68	3344
10	75	3360
11	82	3357
12	89	3363
13	97	3381
14	105	3415
15	113	3426
16	121	3438
17	128	3432
18	136	3446
19	143	3445
20	151	3458
21	159	3466
22	167	3468
23	174	3470
24	183	3486
25	190	3474
26	198	3472
27	208	3518
28	217	3537
29	226	3555
30	244	3703
31	251	3683
32	260	3685
33	268	3676
34	275	3663
35	284	3664
36	292	3666
37	300	3658
38	310	3671
39	320	3686
40	329	3689
41	338	3694
42	348	3700
43	361	3741
44	369	3739
45	379	3743
46	388	3747
47	396	3737
48	406	3736
49	415	3737
50	425	3747
51	435	3749
52	444	3748
53	455	3759
54	464	3758
55	474	3765
56	484	3765
57	489	3730
58	497	3721
59	505	3705
60	512	3690
61	520	3676
62	528	3664
63	536	3651
64	544	3642
65	552	3632
66	560	3624
67	569	3615
68	577	3605
69	585	3595
70	594	3589
71	602	3580
72	609	3567
73	617	3554
74	624	3537
75	632	3529
76	640	3521
77	650	3517
78	659	3514
79	667	3504
80	674	3489
81	681	3472
82	688	3456
83	694	3441
84	701	3426
85	707	3408
86	714	3391
87	720	3375
88	727	3359
89	734	3346
90	741	3332
91	747	3315
92	754	3300
93	760	3286
94	767	3273
95	775	3264
96	782	3250
97	789	3238
98	796	3226
99	803	3213
100	810	3202
101	817	3191
102	824	3179
103	831	3167
104	838	3155
105	845	3141
106	851	3129
107	859	3118
108	866	3108
109	873	3097
110	880	3087
111	888	3078
112	895	3068
113	902	3055
114	909	3044
115	916	3032
116	922	3020
117	929	3010
118	936	2999
119	943	2987
120	949	2974
121	956	2964
122	963	2953
123	970	2942
124	977	2931
125	984	2920
126	990	2909
127	997	2898
128	1005	2890
129	1011	2880
130	1018	2869
131	1025	2858
132	1032	2848
133	1038	2837
134	1045	2826
135	1052	2816
136	1059	2807
137	1066	2796
138	1072	2786
139	1080	2777
140	1087	2770
141	1095	2762
142	1103	2753
143	1110	2745
144	1117	2736
145	1125	2728
146	1132	2718
147	1139	2709
148	1145	2698
149	1152	2688
150	1158	2677
151	1164	2666
152	1171	2657
153	1178	2647
154	1184	2637
155	1191	2628
156	1198	2618
157	1205	2609
158	1212	2600
159	1219	2591
160	1226	2583
161	1233	2573
162	1240	2565
163	1247	2556
164	1255	2548
165	1262	2539
166	1269	2530
167	1276	2522
168	1282	2512
169	1289	2503
170	1296	2495
171	1304	2487
172	1311	2478
173	1318	2470
174	1325	2461
175	1332	2453
176	1339	2444
177	1346	2435
178	1353	2427
179	1360	2418
180	1367	2410
181	1374	2401
182	1381	2392
183	1387	2383
184	1395	2375
185	1402	2367
186	1409	2359
187	1416	2350
188	1423	2343
189	1430	2334
190	1438	2327
191	1445	2318
192	1452	2310
193	1459	2302
194	1466	2293
195	1473	2285
196	1481	2278
197	1488	2270
198	1495	2262
199	1503	2254
200	1509	2246
201	1516	2237
202	1523	2228
203	1530	2220
204	1537	2212
205	1545	2205
206	1552	2196
207	1558	2187
208	1565	2179
209	1572	2171
210	1580	2164
211	1587	2156
212	1594	2148
213	1601	2140
214	1609	2133
215	1616	2125
216	1623	2117
217	1630	2109
218	1637	2101
219	1644	2093
220	1651	2084
221	1658	2076
222	1663	2066
223	1669	2057
224	1675	2048
225	1682	2040
226	1690	2032
227	1697	2024
228	1703	2016
229	1711	2008
230	1717	2000
231	1725	1992
232	1731	1984
233	1739	1976
234	1745	1968
235	1752	1960
236	1758	1951
237	1765	1944
238	1772	1935
239	1779	1927
240	1786	1919
241	1793	1911
242	1800	1903
243	1806	1895
244	1813	1887
245	1820	1879
