molecule_chembl_id,canonical_smiles,standard_value
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,30.0
CHEMBL102714,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,19.8
CHEMBL259850,COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1,490.0
CHEMBL50894,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,6.5
CHEMBL3545157,O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,139.0
CHEMBL284861,Cn1sc(=O)n(Cc2ccccc2)c1=O,1400.0
CHEMBL412142,Cc1cnc(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)[nH]1,4.19
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,54.0
CHEMBL296586,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,230.0
CHEMBL464381,CC1=C(O)[C@@H](C/C(C)=C/CCC(C)/C=C/C=C(\C)CCCc2ccoc2)OC1=O,2600.0
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,32100.0
CHEMBL362558,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,0.9
CHEMBL361708,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,10.0
CHEMBL75680,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,650.0
CHEMBL178737,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,2.6
CHEMBL6291,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,2.8
CHEMBL201511,COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,1100.0
CHEMBL430574,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1,100.0
CHEMBL5087421,CN(c1ncnc2[nH]c3cc(Cl)ccc3c12)C1CCCN(CCC#N)C1,760.0
CHEMBL362814,CN(C)C(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,1.6
CHEMBL288064,Ic1cccc(CSc2nnc(-c3ccncc3)o2)c1,390.0
CHEMBL1080901,Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],0.06
CHEMBL216543,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\O,22.0
CHEMBL403233,O[C@]12C=C(c3nccc4c3[nH]c3ccccc34)[C@@H]3CCN(CCCC/C=C\CC1)C[C@@]31C[C@@H]3/C=C\CCCCN3[C@H]12,10200.0
CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,10000.0
CHEMBL2037482,CCCCCCCCCCCC(=O)NNC(=O)c1c(O)c2ccccc2n(CC)c1=O,3010.0
CHEMBL4474903,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)C3CC3)c2)[nH]1,174.3
CHEMBL4213175,COc1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,240.0
CHEMBL405759,Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1,30.0
CHEMBL99779,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1Cc1ccccc1,10000.0
CHEMBL2064535,N#Cc1cc(F)ccc1-c1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1,1000.0
CHEMBL1910509,O=C1NC(=O)/C(=C/c2c[nH]c3ccccc23)S1,21000.0
CHEMBL4160653,COc1ccc2c(c1)c(/C=C1\SC(=O)NC1=O)cn2C,5500.0
CHEMBL1802358,O=C1NC(Nc2ccccc2)=N/C1=C\c1ccc2c(c1)OCO2,600.0
CHEMBL142764,O=C(CCl)c1ccc(Br)s1,10000.0
CHEMBL4861930,OC1(c2ccccc2)CSC(=S)N1Cc1ccncc1,370.0
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,1000.0
CHEMBL336961,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1,150.0
CHEMBL156987,O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(Cl)c(C(=O)O)c1,76.0
CHEMBL359135,O=C(CCl)c1cccs1,50000.0
CHEMBL357136,O=C(CCl)c1scc(Br)c1Br,500.0
CHEMBL5278465,O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)C2CC2)c1,200.0
CHEMBL342402,O=C(CCl)c1cc(Cl)c(Cl)s1,3000.0
CHEMBL103055,CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1,25.0
CHEMBL182419,O=C(Nc1ncnc2oc(-c3cccnc3)cc12)C1CCCC1,5.0
CHEMBL362588,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,2.0
CHEMBL5267631,O=C(Nc1cnccc1C(F)(F)F)c1ccnc(NC(=O)C2CC2)c1,19.0
CHEMBL3736216,COc1ccc2[nH]nc(C(=O)NCC3CCN(CCc4ccc(O)cc4)CC3)c2c1,350.0
CHEMBL1997924,c1ccc(CNc2nc(Nc3cc(C4CC4)[nH]n3)c3sccc3n2)cc1,9.47
CHEMBL337300,O=Nc1c(-c2c(O)[nH]c3ccc(I)cc23)[nH]c2ccccc12,9.0
CHEMBL5173945,COc1ccc(-c2ocnc2C(=O)NCCCn2cncn2)cc1Cl,2.1
CHEMBL254582,Cc1cccc(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)C(C)C2)c1,690.0
CHEMBL299756,N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,10.0
CHEMBL4076186,COc1cc(F)ccc1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCN1.Cl,0.72
CHEMBL5074629,N#CCCN1CCC2CCN(c3ncnc4[nH]c5cc(Cl)ccc5c34)C2C1,130.0
CHEMBL489422,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cc(Br)ccc21,7.0
CHEMBL4087402,COc1cc(F)ccc1C1CN(c2nc(-c3ccncc3)cc(=O)n2C)CCN1.Cl,0.9
CHEMBL4536012,CCc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)C3CC3)c2)[nH]1,108.4
CHEMBL48082,Nc1nccc(-c2c[nH]c3ccccc23)n1,14810.0
CHEMBL3752684,NC1=NC(c2ccc(F)cc2)NC(=O)N1,14700.0
CHEMBL1276127,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,5.0
CHEMBL326705,Nc1nonc1-n1nnc(-c2n[nH]c(-c3ccncc3)n2)c1CN1CCCCC1,280.0
CHEMBL3735291,COC(=O)c1ccoc1CN1CCC(CNC(=O)c2n[nH]c3ccc(OC)cc23)CC1,230.0
CHEMBL111620,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ncc(C(F)(F)F)cc1Cl,26.0
CHEMBL3735579,COC(=O)c1csc(CN2CCC(CNC(=O)c3n[nH]c4ccc(OC)cc34)CC2)n1,130.0
CHEMBL3734985,COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4ccc(Cl)cc4Cl)CC3)c2c1,310.0
CHEMBL3735506,COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4cccc(F)c4F)cc23)CC1,18.0
CHEMBL3735986,O=C(O)c1coc(CN2CCC(CNC(=O)c3n[nH]c4ccc(-c5cccc(F)c5F)cc34)CC2)n1,6.0
CHEMBL3735500,COC(=O)c1coc(CN2CCC(CNC(=O)c3n[nH]c4ccc(OC)cc34)CC2)n1,210.0
CHEMBL3699446,COc1cc(C2=C(c3cn(CCCO)c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,2254.0
CHEMBL3736035,COc1ccc(-c2ccc3[nH]nc(C(=O)NCC4CCN(Cc5ccc(C(=O)O)o5)CC4)c3c2)cn1,21.0
CHEMBL109981,COc1ccccc1C1=C(c2cn(CCCNC(=O)OC(C)(C)C)c3ncccc23)C(=O)NC1=O,7.0
CHEMBL160333,O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(O)c(Cl)c1,94.0
CHEMBL406863,NCC1(c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,500.0
CHEMBL393525,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,17.6
CHEMBL3735215,O=C(O)c1ccc(CN2CCC(CNC(=O)c3n[nH]c4ccc(-c5cccc(F)c5F)cc34)CC2)o1,12.0
CHEMBL257993,Cc1cccc(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)CC2C)c1,710.0
CHEMBL428252,Cc1cccc(N2CCN(CCCNC(=O)c3nc(-c4ccncc4)no3)CC2C)c1,1130.0
CHEMBL427726,Cc1ccc(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)CC2)cc1C,350.0
CHEMBL3735856,O=C(O)c1ccc(CN2CCC(CNC(=O)c3n[nH]c4ccc(-c5ccccc5F)cc34)CC2)o1,17.0
CHEMBL3735613,CCOC(=O)c1ccc(CN2CCC(CNC(=O)c3n[nH]c4ccc(Br)cc34)CC2)o1,260.0
CHEMBL405384,NC(c1ccc(Cl)cc1)C1CCN(c2ncnc3[nH]ccc23)CC1,7500.0
CHEMBL260577,NC(c1ccc(Cl)cc1)C1CCN(c2ccnc3[nH]ccc23)CC1,2000.0
CHEMBL3735627,COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4ccc(OC)nc4)cc23)CC1,53.0
CHEMBL3735837,COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4ccc(O)cc4)CC3)c2c1,400.0
CHEMBL5091238,O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\c1ccc2ncsc2c1,4158.0
CHEMBL260000,NCC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,1400.0
CHEMBL5283849,O=C1NC(NC2CCCCCC2)=N/C1=C\c1ccc2ncsc2c1,4992.0
CHEMBL259998,NC1(c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,600.0
CHEMBL5205303,CCNC1=NC(c2ccc(F)cc2)NC(=O)N1,7000.0
CHEMBL263664,NC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,3000.0
CHEMBL3735522,COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4cncc(OC)c4)cc23)CC1,26.0
CHEMBL1230165,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,4617.0
CHEMBL156277,COc1ccccc1C1=C(Nc2cccc(Cl)c2)C(=O)NC1=O,14.0
CHEMBL408019,O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1,12.0
CHEMBL352222,O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1cc(Cl)c(O)c(Cl)c1,20.0
CHEMBL402228,COc1ccccc1N1CCN(CCCNC(=O)c2nc(-c3cccnc3)no2)CC1,410.0
CHEMBL5075604,N#CCCN1CCC2CCN(c3ncnc4[nH]c5cc(F)ccc5c34)C2C1,2668.0
CHEMBL5077814,C#Cc1ccc2c(c1)[nH]c1ncnc(N3CCC4CCN(CCC#N)CC43)c12,2.0
CHEMBL5071096,N#CCCN1CCC2CCN(c3ncnc4[nH]c5cc(I)ccc5c34)C2C1,132.0
CHEMBL523435,COc1cccc2c(C3=C(c4cn(C)c5cc(I)c(F)cc45)C(=O)NC3=O)coc12,247.0
CHEMBL301138,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccccc21,35.0
CHEMBL460702,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,2000.0
CHEMBL359554,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,32.0
CHEMBL514554,CS(=O)(=O)c1cccc(CNc2nc(Nc3ccc4c(c3)CCC(=O)N4)ncc2C(F)(F)F)c1,1000.0
CHEMBL3735176,COc1ccncc1-c1ccc2[nH]nc(C(=O)NCC3CCN(Cc4ccc(C(=O)O)o4)CC3)c2c1,9.6
CHEMBL5089053,CN(c1ncnc2[nH]c3ccccc3c12)C1CCCN(CCC#N)C1,480.0
CHEMBL5078490,CN(c1ncnc2[nH]c3cc(F)ccc3c12)C1CCCN(CCC#N)C1,973.0
CHEMBL3652543,Cc1cc(Nc2n[nH]c3ncc(F)cc23)nc(C2CCCCCC2)n1,10.0
CHEMBL5084003,CN(c1ncnc2[nH]c3cc(Cl)ccc3c12)[C@@H]1CCCN(CCC#N)C1,712.0
CHEMBL5081917,CN(c1ncnc2[nH]c3cc(Cl)ccc3c12)[C@H]1CCCN(CCC#N)C1,489.0
